"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"205","Michael Carter","ARZ","rb","8","SF","3.3","0","0","0","0","0","0","3.9147","16.1501","0.1051","0.7073","0.5602","3.9865","0.016","0.059","0.0266","0.0062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"206","Chris Moore","WAS","wr","12","@MIA","5","0","0","0","0","0","0","0","0","0","2.8426","1.7757","23.2681","0.1406","0","0","0.0092","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"207","Kendrick Bourne","SF","wr","14","@ARZ","5","0","0","0","0","0","0","0","0","0","2.7642","1.9766","23.577","0.1108","0","0","0.0074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"208","Dyami Brown","JAX","wr","8","LAC","5","0","0","0","0","0","0","0","0","0","3.0682","1.8888","22.5441","0.1352","0","0","0.0072","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"209","Elijah Arroyo","SEA","te","8","@LA","4.5","0","0","0","0","0","0","0","0","0","2.4694","1.8111","17.9477","0.144","0","0","0.0073","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"210","Tylan Wallace","BLT","wr","7","@CLV","4.9","0","0","0","0","0","0","0","0","0","2.5994","1.8107","21.8785","0.1446","0","0","0.0099","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"211","Tanner Hudson","CIN","te","10","@PIT","4.4","0","0","0","0","0","0","0","0","0","2.7387","1.9652","17.5036","0.116","0","0","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"212","Quintin Morris","JAX","te","8","LAC","4.3","0","0","0","0","0","0","0","0","0","2.5876","1.8564","16.3782","0.1344","0","0","0.0061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"213","Jalin Hyatt","NYG","wr","14","GB","4.7","0","0","0","0","0","0","0","0","0","2.9497","1.6341","23.0851","0.1174","0","0","0.0069","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"214","Davis Mills","HST","qb","6","@TEN","13.2","20.4796","30.7709","207.2671","1.0639","0.7733","1.7977","2.218","8.9602","0.0588","0","0","0","0","0","0","0.0689","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"215","Tank Bigsby","PHI","rb","9","DET","2.8","0","0","0","0","0","0","2.5095","10.8915","0.0902","0.7897","0.6612","4.4258","0.0203","0.0411","0.0189","0.006","36.2972","0.0093","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216","Kalif Raymond","DET","wr","8","@PHI","4.5","0","0","0","0","0","0","0.2453","1.5207","0.0112","2.6617","2.0407","16.1998","0.1001","0.0204","0.0109","0.0086","62.6836","0.0267","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"217","Nick Westbrook-Ikhine","MIA","wr","12","WAS","4.5","0","0","0","0","0","0","0","0","0","2.4656","1.5918","18.0887","0.1774","0","0","0.0074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"218","Xavier Hutchinson","HST","wr","6","@TEN","4.5","0","0","0","0","0","0","0","0","0","2.991","1.8464","18.927","0.1176","0","0","0.0066","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"219","Gunnar Helm","TEN","te","10","HST","4","0","0","0","0","0","0","0","0","0","2.6531","1.8509","15.0656","0.1067","0","0","0.0048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"220","Chris Brooks","GB","rb","5","@NYG","2.7","0","0","0","0","0","0","1.4194","6.8947","0.0461","1.1085","0.926","6.3264","0.0342","0.0292","0.014","0.0053","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"221","Kyle Juszczyk","SF","rb","14","@ARZ","2.6","0","0","0","0","0","0","0.996","4.0511","0.0286","1.2403","0.9793","8.1417","0.0451","0.024","0.0118","0.0045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"222","KaVontae Turpin","DAL","wr","10","@LV","4.3","0","0","0","0","0","0","0.947","5.6688","0.0178","2.0678","1.4452","15.4669","0.1083","0.0278","0.0139","0.007","76.2431","0.0289","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"223","Dontayvion Wicks","GB","wr","5","@NYG","4.3","0","0","0","0","0","0","0","0","0","2.502","1.5817","19.7","0.1269","0","0","0.0082","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"224","Roman Wilson","PIT","wr","5","CIN","4.3","0","0","0","0","0","0","0","0","0","2.4026","1.5586","19.0008","0.1333","0","0","0.0069","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"225","Jayden Higgins","HST","wr","6","@TEN","4.3","0","0","0","0","0","0","0","0","0","2.7296","1.655","19.2553","0.1232","0","0","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"226","Julian Hill","MIA","te","12","WAS","3.8","0","0","0","0","0","0","0","0","0","2.0238","1.5129","15.1136","0.1232","0","0","0.0061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"227","Ray-Ray McCloud III","NYG","wr","14","GB","4.2","0","0","0","0","0","0","0","0","0","2.4763","1.7753","18.3004","0.0901","0","0","0.0058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"228","Xavier Weaver","ARZ","wr","8","SF","4.2","0","0","0","0","0","0","0","0","0","2.5816","1.5435","19.8577","0.1148","0","0","0.0063","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"229","Daniel Bellinger","NYG","te","14","GB","3.7","0","0","0","0","0","0","0","0","0","2.0391","1.5002","15.2335","0.1063","0","0","0.0048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"230","Jordan Whittington","LA","wr","8","SEA","4.1","0","0","0","0","0","0","0","0","0","2.4072","1.7451","18.4886","0.0839","0","0","0.006","32.4152","0.0083","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"231","Luther Burden III","CHI","wr","5","@MIN","4.1","0","0","0","0","0","0","0","0","0","2.2881","1.5591","19.223","0.094","0","0","0.0059","8.4306","0.0022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"232","Dillon Gabriel","CLV","qb","9","BLT","12.5","22.1744","33.9297","184.6941","1.0535","0.8143","2.641","2.596","14.4909","0.0284","0","0","0","0","0","0","0.0651","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"233","Tre Harris","LAC","wr","12","@JAX","4","0","0","0","0","0","0","0","0","0","2.3358","1.6452","16.7509","0.1061","0","0","0.0058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"234","Noah Gray","KC","te","10","@DEN","3.5","0","0","0","0","0","0","0","0","0","2.1336","1.6013","12.4459","0.1131","0","0","0.0056","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"235","Tahj Brooks","CIN","rb","10","@PIT","2.2","0","0","0","0","0","0","2.1719","8.8712","0.0549","0.6956","0.5531","3.7407","0.0176","0.0353","0.0162","0.0049","32.4672","0.0083","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"236","Jimmy Horn Jr.","CAR","wr","14","@ATL","3.9","0","0","0","0","0","0","0","0","0","2.4812","1.5822","16.2197","0.1108","0","0","0.0062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"237","LeQuint Allen","JAX","rb","8","LAC","2.1","0","0","0","0","0","0","1.3015","5.5205","0.0366","0.9241","0.7497","4.7378","0.0236","0.0257","0.0122","0.0037","32.3638","0.0083","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"238","Arian Smith","NYJ","wr","9","@NE","3.8","0","0","0","0","0","0","0.1244","0.71","0.0017","2.4968","1.5335","14.6636","0.111","0.0186","0.0101","0.0066","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"239","Ryan Flournoy","DAL","wr","10","@LV","3.8","0","0","0","0","0","0","0","0","0","2.1839","1.5041","16.6541","0.1059","0","0","0.0061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"240","Will Shipley","PHI","rb","9","DET","1.9","0","0","0","0","0","0","1.0516","4.335","0.0324","0.8179","0.6773","4.6919","0.0233","0.0215","0.0103","0.0042","48.1149","0.0123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"241","Adonai Mitchell","NYJ","wr","9","@NE","3.6","0","0","0","0","0","0","0","0","0","2.3414","1.4135","16.2715","0.0987","0","0","0.0061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"242","Cole Kmet","CHI","te","5","@MIN","3.1","0","0","0","0","0","0","0","0","0","1.9846","1.402","11.1026","0.102","0","0","0.0051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"243","Terrance Ferguson","LA","te","8","SEA","3.1","0","0","0","0","0","0","0","0","0","1.7233","1.082","14.7057","0.0932","0","0","0.0043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"244","Joshua Palmer","BUF","wr","7","TB","3.5","0","0","0","0","0","0","0","0","0","1.9296","1.2878","16.4652","0.0877","0","0","0.0067","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"245","Jack Bech","LV","wr","8","DAL","3.5","0","0","0","0","0","0","0","0","0","2.0266","1.3385","15.5745","0.0958","0","0","0.0049","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"246","John FitzPatrick","GB","te","5","@NYG","3","0","0","0","0","0","0","0","0","0","1.6786","1.2453","11.4842","0.0998","0","0","0.0055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"247","Davis Allen","LA","te","8","SEA","3","0","0","0","0","0","0","0","0","0","1.6549","1.211","11.2538","0.1087","0","0","0.0041","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"248","Malachi Corley","CLV","wr","9","BLT","3.4","0","0","0","0","0","0","0","0","0","2.3997","1.463","14.456","0.0873","0","0","0.0046","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"249","Allen Lazard","NYJ","wr","9","@NE","3.3","0","0","0","0","0","0","0","0","0","1.9642","1.25","14.0939","0.1066","0","0","0.0051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"250","Isaac TeSlaa","DET","wr","8","@PHI","3.3","0","0","0","0","0","0","0","0","0","1.9293","1.2064","14.3827","0.1072","0","0","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
